68053d2c	Sun tarina
50760ee7	Kirjoita lyhyt yhteenveto
f2d745a0	Mitä opit tänään? Kirjoita 2, 3 lausetta omin sanoin.
7e4222c9	ℹ Tallenna ensin tiedosto, sitten liitä se Classroomin palautukseen.
8a4ee44c	Ryhmän jäsenet:
7c9264a3	Budjetti:10 pistettä
2dac3cd4	Vahvuuslista , merkitse rasti valitulle, kirjoita pisteet
e18303ba	Luovuus
c7498519	Pitkäjänteisyys
02ba0a76	Empatia
af790b8a	Rohkeus
4a415f44	Huumorintaju
fe2b202c	Oikeudenmukaisuus
e2b8a672	Uteliaisuus
2ce66920	Yhteistyötaito
d99457a5	Sinnikkyys
c00ca3e8	Johtajuus
c1a0b38a	Rehellisyys
ae3b073f	Rauhallisuus
047a6ffa	Innokkuus
6d841917	Huolellisuus
2a483ca1	Kyky auttaa muita
ced02ba2	Ostetut vahvuudet , kirjoita tähän
d02d1731	pisteet:
055bca52	Miksi ostitte juuri nämä? Jokainen ryhmäläinen kertoo vuorollaan: onko jokin näistä vahvuuksista minun? Perustele.
6fca08f2	Opi, miten aivosi toimivat , ja tee niistä terävämmät!
32b333f7	Opettajan puhe
d7dd5d37	Aivosi ovat tähän saakka kehitetty paras tietokone!
2d9d56f9	Muisti ei ole vain yksi asia , se on kuin kirjasto, jossa on eri osastoja. Uusi tieto menee ensin lyhytkestoiseen muistiin. Sieltä se siirtyy pitkäkestoiseen muistiin, kun toistat sen tarpeeksi monta kertaa.
7377e891	Tärkein juttu: Mitä useammin kerrataan, sitä paremmin muistaa!
4c04032c	Lyhytkestoinen muisti Muistaa 7 asiaa noin 20 sekuntia
35448e41	Pitkäkestoinen muisti Muistaa lopun elämää , jos toistat!
c1826d8f	Janottavaa hommaa Juo vettä , kuiva aivosolu muistaa huonosti!
34f21721	Uni on tärkeää Nukkuessa aivot tallentavat päivän opit
2b34836f	Toista pian oppimisen jälkeen
2a2637cc	Toista 1 vuorokauden kuluttua
4261e879	Toista 1 viikon kuluttua
a52fc5d6	Toista 1 kuukauden kuluttua
30c31172	Toista 3, 6 kuukauden kuluttua
338c10d1	Toiminnallinen tehtävä
91a0709d	Muistijono , liike muistaa!
11a0c61a	Tämä tehtävä tehdään seisten ja liikkuen. Nousette ylös ja muodostatte ringin!
0d5fd36c	Näin tehdään:
7e488999	Muodostakaa rinki , kaikki seisovat.
d8f415ca	Ensimmäinen keksii yhden liikkeen (esim. taputtaa, hyppää, kääntyy) ja tekee sen , kaikki toistavat.
349a55e8	Seuraava toistaa edellisen liikkeen ja lisää oman , kaikki toistavat koko jonon järjestyksessä.
ac843f74	Jatketaan rinkiä , kuinka pitkäksi jono kasvaa? Jos joku unohtaa, se on ok , katsotaan yhdessä missä muisti meni pieleen!
0fc3e592	Purku , keskustelkaa sen jälkeen:
d4c2c836	Mikä auttoi sinua muistamaan? (rytmi, kuva mielessä, tarina?)
11e3a49b	Monesko liike oli vaikein muistaa , ja miksi?
79dc1b1b	Miten tätä voisi käyttää opiskellessasi?
b21ffd93	Muistitesti
e40a57f2	Vaihe 2
4d3cb445	Katso numerot, muista ne , sitten kirjoita muistista!
249922b2	Muista nämä numerot!
76d5eaf2	Kirjoita numerot järjestyksessä:
40db4ed6	Vihje: välit eivät haittaa
aa2b9bd6	Tai siirry eteenpäin
d63aaf98	Muistipeli , löydä parit!
e50a5985	Vaihe 3
b212ae2d	Käännä kortteja ja löydä kaikki parit. Muista missä olet nähnyt samanlaisen kortin!
6f41cd14	Parit: 0 / 8 , Yritykset: 0
f6056107	Loistava muisti!Löysit kaikki parit!
fc2961da	Tietovisa , muistin salaisuudet
de0a4e80	Vaihe 4
fd4faab5	Hienosti tehty!
dc503d8e	Olet suorittanut muistitehtävän!
4e94ee06	oikein
73dc677e	Toista! Lue tai kuuntele sama asia useampaan kertaan eri päivinä.
ef86986e	Yhdistele! Liitä uusi tieto johonkin, jonka jo tiedät.
340d4dd7	Kirjoita muistiin! Kirjoittaminen auttaa aivojasi tallentamaan.
a8f35733	Leiki! Tee muistamisesta hauska peli , käytä loruja tai kuvia.
97a07091	Selviytymiskeino 2 , Löydä motivaatiosi
a004caf9	Pienryhmätehtävä, jossa oppilaat ensin keksivät ratkaisuja motivaatio-ongelmiin, sitten kiertelevät parantamassa toistensa ideoita.
cd83f64d	Kortti 1
68ff2a39	Et jaksa tehdä kotitehtäviä
45e7a79f	Miltä tuntuu katsoa pinkaa tekemättömiä tehtäviä? Mitkä keinot voisivat auttaa aloittamaan?
625f1494	Ratkaisut ja keinot:
ca83f194	Kortti 2
43477ab4	Oppiaine tuntuu täysin turhalta
2709a1bf	Miksi pitää opiskella asioita, joilla ei tunnu olevan mitään järkeä? Miten löytää yhteys omaan elämään?
cb83f327	Kortti 3
4cc5bd4a	Saat huonon arvosanan, vaikka yritit
33c0fc19	Kuinka jaksaa yrittää uudelleen, kun pettymys on iso? Mitä sanoisit kaverille samassa tilanteessa?
c883ee6e	Kortti 4
0f1f0a0a	Kaveri häiritsee , et pysty keskittymään
2d889076	Miten pitää oma fokus, kun ympäristö häiritsee? Entä jos häiritsijä on paras kaveri?
c983f001	Kortti 5
7f536697	Vertaat itseäsi muihin ja tulee huono olo
255234ed	Muut tuntuvat osaavan helpommin. Miten löytää oma tahti ja uskoa omaan osaamiseen?
c683eb48	Kortti 6
b7f51ad9	Aamulla ei yhtään huvita tulla kouluun
433eccf6	Jokin saa kuitenkin nousemaan ylös. Mikä se voisi olla? Miten tehdä koulupäivästä sellainen, jota odottaa?
de86d636	Purkukysymykset opettajalle
88c2d588	Mikä idea yllätti teidät eniten , sellainen, jota ette olisi itse keksitty?
d56c1256	Löytyikö jokin keino, joka toistui useammassa kortissa? Mitä se kertoo motivaatiosta?
234ac4cf	Onko helpompi keksiä ratkaisuja toisen ongelmaan kuin omaan? Miksi?
0c648da4	Mikä ero on sisäisellä ja ulkoisella motivaatiolla näissä keinoissa , kuinka moni keksitty idea liittyy kumpaan?
fdd9866b	Opi lukemaan älykkäämmin , ei nopeammin!
3a7c316b	Älykäs lukija ei lue kaikkea , hän valitsee mitä lukee!
c3f555f1	Lukeminen ei tarkoita vain sanojen tunnistamista. Älykäs lukeminen tarkoittaa sitä, että osaat löytää tarvitsemasi tiedon nopeasti ja ymmärrät sen oikeasti.
eb62378a	Ennen lukemista: Silmäile sisällysluettelo, lue otsikot ja ensimmäiset virkkeet. Näin tiedät, mistä tekstissä on kyse , ennen kuin edes aloitat!
a5c865bc	Älykas lukeminen Silmäile ensin, sitten lue tarkasti tarvittavat kohdat
646ce56a	Aktiivinen lukeminen Kynä kädessä , merkitse tärkeät kohdat heti!
fa260ee5	1Yritä saada yleiskuva , mistä teksti kertoo?
eef2d905	2Lue kappale kerrallaan , ymmärsitkö sen?
319adebc	3Tee tiivistelmä muutamalla sanalla , kirjoita tai sano ääneen
c6529593	Tekstitaidelähtö , piirrä mitä luit!
c40347a6	Tämä tehtävä tehdään liikkuen ympäri luokkaa ja piirtäen. Ottakaa kynä ja paperi!
30191289	Opettaja kiinnittää 4, 5 lyhyttä tekstiä seinille ympäri luokkaa.
d7dea467	Kierrätte tekstit vapaassa järjestyksessä ja luette ne , jokainen omaan tahtiin.
be9d7415	Valitse yksi teksti ja piirrä sen pääajatus paperille. Ei sanoja , vain kuva!
0e72442d	Esitellään kuvat , muut arvaavat, mitä tekstiä kuva esittää. Paras arvaus voittaa!
14eda230	Teksti 1: "Aivot tarvitsevat vettä. Kun juot tarpeeksi, muistisi ja keskittymisesi paranevat. Kuiva aivosolu toimii huonosti."
34b51644	Teksti 2: "Uni on tärkeä oppimiselle. Nukkuessa aivot tallentavat päivän opit pitkäkestoiseen muistiin."
dd0a7f02	Teksti 3: "Toistaminen on muistamisen tärkein taito. Mitä useammin kerrataan, sitä paremmin asia jää mieleen."
2742ce11	Teksti 4: "Liikunta parantaa oppimista. Kun liikut, aivoihin virtaa enemmän verta ja happea."
b19ca425	Avautuu uuteen välilehteen , Tulosta A4, leikkaa kortit irti
9a0aa331	Purku: Miten tiivistit tekstin kuvaan?
59f75356	Se on juuri sitä, mitä älykas lukija tekee , etsii pääajatuksen ja tiivistää sen!
8bae823d	Arvaa mistä teksti kertoo!
53e1727d	Lue vain tekstin alku. Arvaa sitten, mistä aiheesta teksti kertoo. Älykäs lukija osaa tehdä tämän!
7eda44be	Järjestä lukemisen vaiheet
5e7701db	Vedä (tai napauta ylös/alas) vaiheet oikeaan järjestykseen. Mikä on älykkään lukijan oikea järjestys?
b48c6307	Tietovisa , lukemisen taito
51fc66d2	Mahtavaa , olet älykäs lukija!
a5970fe1	Olet suorittanut lukemistehtävän!
cad29676	Silmäile ensin! Katso otsikot ja kuvat ennen kuin aloitat lukemisen. Näin tiedät mitä odottaa.
ff3813f6	Kynä kädessä! Alleviivaa tai kirjoita muistiin tärkeimmät kohdat heti kun löydät ne.
f388c3f5	Ydinvirke! Kappaleen ensimmäinen virke kertoo yleensä koko kappaleen pääasian.
7dfafd1b	Tiivistä! Selitä juuri lukemasi asia jollekin toiselle omin sanoin , se on paras tapa varmistaa, että ymmärsit.
734718e6	Suunnittele, järjestä ja ota kontrolli omasta ajastasi!
e52cd468	Aikataulu on kuin kartta , ilman sitä eksyt!
1e146f16	Aikataulu ei ole vankilankalteri vaan vapauslaitos. Kun tiedät mitä pitää tehdä ja milloin, voit rentoutua huoletta vapaa-ajalla , sinun ei tarvitse stressata tekemättömistä töistä!
1229186e	Tärkein vinkki: Laske taaksepäin koepäivästä. Jos koe on perjantaina, milloin teet viimeisen kertauksen? Torstaina! Milloin harjoittelet tehtäviä? Keskiviikkona! Ja niin edelleen , älä jätä kaikkea viimeiseen iltaan!
705b4736	Näin jaat kokeeseen valmistautumisen osiin:
5f4d6a14	6Koe (määräpäivä)
89a88c37	5Viimeinen kertaus
711c5604	4Harjoittelutehtävät ja itsetestaus
3255f88f	3Tiivistelmän tekeminen
e5f6de6e	2Muistiinpanojen ja kirjan läpikäynti
f3a9a64d	1Aloita ajoissa (aloita tästä!)
3faae88d	Suunnittele taaksepäin , aloita koepäivästä!
7f3d1037	Ihmisaikajana , sinä olet tehtäväkortti!
f916da86	Tämä tehtävä tehdään lattialla liikkuen. Jokainen teistä on osa aikataulua!
47e5cdd5	Opettaja tekee lattialle aikajanan teipillä tai merkitsemällä: päivät 1, 10 (tai Ma, Pe).
46858f80	Jokaiselle oppilaalle annetaan tehtäväkortti: Muistiinpanojen läpikäynti / Tiivistelmä / Harjoittelu / Viimeinen kertaus / Koe
27572acd	Jokainen asettuu aikajanalle kohtaan, johon oma vaihe kuuluu. Ensin vapaasti , sitten tarkistetaan yhdessä!
4e51590d	Opettaja sanoo: "Koepäivä on päivä 10!" , Ryhmä tarkistaa: mahtuuko kaikki? Onko puskuria? Siirretään tarvittaessa!
ce6b936f	Opettaja lisää yllätyksen: "Päivä 7 sairastuit!" , Mitä tapahtuu aikataululle? Siirretäänkö vaiheita?
adcfc49d	Muistiinpanojen läpikäyntiPäivät 1, 3
b0bfed50	Päivät 1, 3
b9bede01	TiivistelmäPäivät 3, 5
2f9f07b4	Päivät 3, 5
61cb2889	HarjoitteluPäivät 5, 7
bb2c7da8	Päivät 5, 7
683632bf	Viimeinen kertausPäivät 7, 9
f7efaf64	Päivät 7, 9
29b37ba9	KOE , Päivä 10!
b3544ba9	Purku , keskustelkaa lopuksi:
01ab3a68	Oliko aikataulussa tarpeeksi puskuria?
e284b922	Mistä kohdasta laskettiin taaksepäin , ja miksi se on järkevää?
7a72250e	Mitä olisi tapahtunut, jos olisimme aloittaneet liian myöhään?
884d85a5	Suunnittele kokeeseen lukeminen
2e4985c8	Matematiikan koe on ensi perjantaina! Sinulla on 10 päivää aikaa. Kuinka jaat ajan eri lukemisvaiheisiin? Muista jättää 1 päivä puskuria!
72afe109	Koepäivä
a27829bd	Perjantai , 10 päivän päästä
a57a762f	Montako päivää annat kullekin vaiheelle? (Yhteensä max 9 päivää , 1 päivä puskuria!)
0d4c06f2	Yhteensä: 0 / 9 päivää
2eae1bcd	Tietovisa , aikataulujen salaisuudet
ee13187d	Lisätehtävä
df0a5013	Vaihe 5
a446b11a	Rakenna oma viikkoaikataulusi! Vedä tehtävät kalenteriin, tai valitse tyhjästä ruudusta pudotusvalikolla mitä lisäät. Yritä pitää tasapaino: ei liikaa samana päivänä!
d73588cc	Tehtäväpankki , vedä kalenteriin
1a05f0a2	Työtaakka per päivä:
c5d17bc4	Olet aikatauluguru!
94af5362	Olet suorittanut aikataulutehtävän!
e5202369	Tarkista aikataulu joka viikko! Aikataulun täytyy olla elävä , päivitä se aina kun suunnitelmat muuttuvat.
b1598cec	Aseta hälytyksiä! Puhelimen kalenteri ja hälytykset muistuttavat tärkeistä päivämääristä.
595cc805	Laske taaksepäin! Aloita aina suunnittelu määräpäivästä , ei aloituspäivästä.
ad9530c7	Muista lepo! Hyvä aikataulu sisältää myös vapaa-aikaa. Väsynyt aivot ei opi!
9d94e0b0	TiedonTemppeli
c6a9e43c	Tiedon TemppelinSalaisuudet
fa90c0c9	Salaisuudet
a3446514	Kuka pääsee nopeiten temppelin huipulle ja voittaa aarteen?
6e34784b	Kierros 1 , Temppelin Portti
64b15a4e	Edessäsi on Tiedon Temppeli , täynnä mystisiä portteja ja arvoituksia. Ratkaise kaikki 30 arvoitusta kolmessa kerroksessa. Nopein pelaaja pääsee temppelin huipulle ja voittaa aarteen! Aarteen sisältö selviää vain voittajalle.
0c0862d9	K1: 100p , K2: 150p , K3: 200p per oikea , Tulostaulu
c960f384	Nimi *
3516c183	Koulu *
c7c3115c	Luokka (vapaaehtoinen)
df4d2e57	Kirjoita ainakin nimi ja koulu
3fb1fefe	Tiedon Temppeli , Kierros 1
09d4be3d	Kierros 1
7a3aa631	Pisteet
3583995b	Ratkaistu
9a68dfe7	Aika
8ce16f9d	Klikkaa portteja ja ratkaise arvoitukset. Nopein pelaaja pääsee temppelin huipulle ja voittaa aarteen , aarteen sisältö selviää vain voittajalle!
52369965	Ratkaistu: 0/10
cbe11a58	Kategoria
c001abf5	Otsikko
6006e817	Ensimmäinen kerros läpäisty!
33044ae3	Olet ratkaissut kaikki arvoitukset temppelin porteilla. Edessäsi siintää Tiedon Temppelin ensimmäinen kerros , arvoitukset ovat vaikeampia, mutta pisteitäkin saa enemmän! Aarre odottaa temppelin huipulla.
9f0e081a	Aarre odottaa temppelin huipulla.
8b9cec37	KIERROS 1 , PISTEET
80063fcb	Kierros 2: oikea vastaus = 150p + aikabonus
f13e042a	Toinen kerros läpäisty!
25676524	Upea suoritus , olet päässyt lähelle temppelin huippua! Edessäsi on Tiedon Temppelin viimeinen kerros , kaikkein vaikeimmat arvoitukset odottavat, mutta jokainen oikea vastaus tuo 200 pistettä + aikabonus! Tämä on viimeinen mahdollisuus kisata aarteesta.
69dfddd8	Tämä on viimeinen mahdollisuus kisata aarteesta.
e0431bdd	PISTEET TÄHÄN MENNESSÄ
03ded960	Kierros 3: oikea vastaus = 200p + aikabonus
bcff87ac	Seikkailu päättyi!
6836c838	päättyi!
a431cbbc	Mahtava suoritus!
362e2f30	kokonaispistettä
34653d44	Olet saavuttanut temppelin huipun! Näytä tämä koodi opettajallesi:
9722d126	Oikein
b461897e	Kokonaisaika
c5952629	TULOSTAULU , TOP 5 (K1 + K2 + K3)
2fec5afd	Ladataan...
0154936d	Tulostaulu
2733b2a7	TOP 5 , YHTEISPISTEET (K1 + K2 + K3)
9030eab7	Supervoima-etsintä
2b3705e1	Sinussa on vahvuuksia, joita et ehkä itse edes huomaa.Löydetään ne yhdessä!
f0b22eaf	Kesto: noin 5, 10 minuuttia
cc8701ac	AI-laboratorio
a7d8c908	Robo opettaa sinua!
a374aaa7	Tässä pelissä Robo antaa sinulle tehtäviä tekoälystä.Opitaan yhdessä, mitä tekoäly on , ja miten sitä käytetään järkevästi.
bd007b3a	AI-laboratorio , Luku 1 / 5
9010efa8	Tekoäly toimii minun sisälläni.
7a4d26d5	Mutta mitä tekoäly oikeastaan on? Valitse oikea vastaus!
c1403b4c	Mitä tekoäly tarkoittaa?
8d029404	Vaihtoehto A, Robotti, joka tuntee tunteita
343269bd	Vaihtoehto B, Ohjelma, joka oppii tiedosta ja tunnistaa malleja
ff08e4c6	Vaihtoehto C, Tietokone, joka ajattelee kuten ihminen
10d72a09	Vaihtoehto D, Internet-palvelu, joka tietää kaiken
6897be77	AI-laboratorio , Luku 2 / 5
d5d987b4	Tekoäly voi auttaa sinua opiskelussa. Mutta se ei sovi kaikkeen.
535fa0ed	Lajittele tilanteet! Mihin tekoäly sopii , ja mihin ei?
4abcb513	Voit raahata kortit tai klikata korttia ja sitten kolumnia.
5e00ba5d	Lajittele tilanteet oikeaan sarakkeeseen
cf11c52c	Haluan tiivistelmän matematiikan luvusta
6347368a	Haluan tietää, mitä mieltä ystäväni on minusta
94e35739	En ymmärrä sanaa , selitä se minulle
614c43d9	Tee koevastaukseni valmiiksi puolestani
7767300c	Keksi minulle harjoitustehtäviä historiasta
731add85	Kerro, mitä tapahtui koulussa tänään
b62e993a	Tekoäly voi auttaa
b8309cb8	Tee itse tai kysy ihmiseltä
e2a6b46d	Tiedätkö, miten voit valmistautua kokeeseen minun avullani?
b1c6ae85	Pyydä minua kuulustelemaan sinua!
bbeaedca	Kirjoita tekoälylle näin:
87c7ea59	Esimerkki "Olen 7-luokkalainen. Tenttaa minua valokuvauksen perusteista. Kysy yksi kysymys kerrallaan. Kerro jokaisen vastauksen jälkeen, oliko se oikein , ja miksi."
a745d4f9	Esimerkki
c1ec1be0	Tekoäly kysy kysymyksen , sinä vastaat.
fdd28c85	Tekoäly kertoo, oliko vastaus oikein. Se myös selittää.
61a99f5f	Voit pyytää lisää kysymyksiä tai vaikeampia kysymyksiä.
2f5c96e8	Miksi on hyvä, että tekoäly kysyy yksi kysymys kerrallaan?
f82cbcaf	Vaihtoehto A, Koska tekoäly ei muista enempää
e3a4e73c	Vaihtoehto B, Koska saat vastata rauhassa ja opit paremmin pienissä osissa
d8aa0a5f	Vaihtoehto C, Koska muuten koe menee liian helpoksi
1370d494	AI-laboratorio , Luku 3 / 5
2c8cf986	Tekoäly antaa paremman vastauksen, kun kysyt hyvin!
4d0f699f	Hyvä kysymys kertoo: kuka olet, mitä haluat, ja mikä on tilanne.
842f48cf	Vertaile näitä kahta:
d72ecfbf	Heikko: "Selitä fotosynteeesi"
c6c0cc2d	Hyvä: "Olen 7-luokkalainen. Selitä fotosynteesin vaiheet lyhyesti ja helposti."
9b037046	Kumpi on parempi kysymys tekoälylle?
17c1542b	Vaihtoehto A, "Kerro murrosikä"
d4a1598a	Vaihtoehto B, "Olen 7-luokkalainen. Selitä murrosikä kolmella lauseella, helposti."
eea0918d	Vaihtoehto C, "murrosikä???"
e48aa351	AI-laboratorio , Luku 4 / 5
4e77b314	Minä voin tehdä virheitä. Tarkista aina, mitä kerron sinulle.
adc6c949	Ja muista: koulussasi sinun oma ajattelusi on tärkeintä!
9c903782	Tekoäly teki koetehtäväsi valmiiksi. Mitä teet?
411aa864	Vaihtoehto A, Palautat sen sellaisenaan , nopea ja helppo!
a6852156	Vaihtoehto B, Luet läpi, muokkaat omin sanoin ja lisäät oman ajatuksen
b1f2d545	Vaihtoehto C, Heitit sen pois , tekoäly ei koskaan auta
9ec2d909	Tekoäly kertoo sinulle jonkin tiedon. Mitä teet seuraavaksi?
9ca269e8	Vaihtoehto A, Uskon kaiken heti , tekoäly tietää kaiken
ca38bdac	Vaihtoehto B, En käytä tekoälyä lainkaan , se valehtelee aina
ba8afa63	Vaihtoehto C, Tarkistan tiedon muualta , esim. oppikirjasta tai luotettavalta sivustolta
cbe456ee	AI-laboratorio , Luku 5 / 5
85e7ebfd	Hienoa! Opit paljon tänään.
2e4406ab	Tässä on koonti siitä, mitä tekoälystä kannattaa muistaa:
4ec7ffec	Tekoäly on ohjelma, ei ihminen. Se oppii tiedosta, mutta ei tunne eikä ajattele kuten sinä.
bf629c33	Tekoäly voi auttaa opiskelussa. Se selittää, tiivistää ja keksii harjoitustehtäviä , mutta ei tee töitä puolestasi.
92b1a5bf	Kysy hyvin, saat paremman vastauksen. Kerro, kuka olet ja mitä haluat. Mitä tarkempi kysymys, sitä parempi vastaus.
d2d71785	Tarkista aina, mitä tekoäly kertoo. Tekoäly voi erehtyä. Sinä olet se, joka ajattelee.
f923c915	AI-laboratorio suoritettu!
a5d5bf83	Hienoa työtä!
ae650427	Opit, mitä tekoäly on, miten käytät sitä opiskelussa ja miksi oma ajattelusi on korvaamatonta.
dd7cd84e	Tekoäly on työkalu , sinä olet se, joka ohjaa sitä.
c4e2f181	Loading…
88c4a22a	Yläkoulun pakopeli , seitsemäs luokka
56c6d2db	Yläkoulun pakopeli!
1b912d11	Selviätkö ulos koulurakennuksesta? Pelissä on 10 kysymystä, jotka liittyvät opiskeluun. Jos saat tarvittavan määrän pisteitä, pääset ulos koulusta!
917e7dd7	luokkaa
b25252d1	pistettä max
e332b868	pistettä vaaditaan
dde5a73d	Oppilas näyttää koodin pelin lopussa. Tarkista koodi alta.
8f2c70cf	Koodi
7800c6d8	Mitä tarkoittaa
971d091c	TAITO8
f0223ea5	0, 19
304f0b5b	Tarvitsee paljon tukea. Käykää läpi miksi valinnat olivat haastavia.
1fedce2a	KOULU7
e5165ce3	20, 39
2da1c6cd	Alkuvaiheessa. Joitakin hyviä strategioita, mutta paljon kehitettävää.
e0b107d4	OPPIJA
15336b23	40, 59
7782b829	Ymmärtää oppimisen perusteet. Kannusta kokeilemaan uusia strategioita.
ecd6fda0	GENIUS
f29db9c3	60, 79
e8033f8b	Hallitsee taidot hyvin. Kävi sakkokierroksella mutta selvisi.
9f18eafb	VAPAUS
6e8dd803	80, 99
571a97fb	Hallitsee taidot erinomaisesti. Ei tarvinnut sakkokierrosta.
367cc7a8	VIISAS
2d97dc15	100+
79a88049	Huippusuoritus! Lähes täydet pisteet.
e29da141	Robo saapuu kouluun
1e5c9330	Tervetuloa! Tässä tarinassa tutustut tekoälyyn Robon avulla.
6df3a135	Luku 1 / 7
d981777a	Saat antaa minulle oman nimen!
b769bcd7	Anna Robolle nimi
8b0d6215	Kirjoita nimi tähän:
dbd0f68c	Luku 2 / 7
7cd3219d	Tekoäly on tietokoneohjelma. Se oppii tiedosta.
f33bbb3b	Tekoäly ei ajattele kuten ihminen. Se ei unelmoi eikä keksi omia tavoitteita.
fded1fef	Se käsittelee paljon tietoa ja etsii siitä malleja.
120fc18b	Tekoäly on jo arjessasi:
a4efa323	Karttasovellus
6dfa6360	Suoratoistosuositukset
052d3a7b	Pelit
66482ed2	Ääniohjaus
8194a9c2	Mitä tekoäly tekee?
a6c5b405	Vaihtoehto A, Se ajattelee kuten ihminen
ee691238	Vaihtoehto B, Se käsittelee tietoa ja etsii malleja
08310834	Vaihtoehto C, Se tietää kaiken
063e4ccf	Luku 3 / 7
54147fe6	Minä pystyn moniin asioihin, joihin ihminen ei aina pysty.
d04c1bb8	Robotti pystyy:
c313e9eb	Toistamaan tarkkoja liikkeitä loputtomasti
30bd9729	Mittaamaan ja keräämään tietoa nopeasti
e8ddddf9	Toimimaan vaarallisissa paikoissa
7720cba2	Auttamaan lääketieteessä ja tutkimuksessa
ba6ecf66	Luku 4 / 7
7d10839f	Minulla on myös rajoja. En osaa kaikkea.
79cb6f03	Vastuu on aina ihmisellä.
03268a3d	Robotti EI pysty:
c2e8435a	Päättämään, mikä on oikein tai väärin
54f92962	Tuntemaan empatiaa
38f82811	Ymmärtämään ihmisen elämää
dec1e7c6	Kantamaan vastuuta teoistaan
76f5b904	Tosi vai taru? , Tekoäly voi päättää, mikä on oikein ja väärin.
45d9ea1a	Vaihtoehto A, Tosi
05b19860	Vaihtoehto B, Taru
981edd38	Muista: jos minulle annettu tieto on väärää, myös vastaukseni voi olla väärä.
3a81e44f	Siksi ihmisen täytyy aina tarkistaa, mitä minä sanon.
052fcbcc	Tosi vai taru? , Tekoäly voi joskus antaa väärää tietoa.
7b9a4869	Luku 5 / 7
783c97a4	Olen nopea ja pystyn käsittelemään valtavasti tietoa.
e6c69a90	Mutta minä en ymmärrä maailmaa kuten sinä. En tunne. En koe elämää.
00db73f6	Minä tarvitsen sinua.
e9779dc0	Luku 6 / 7
4e03cc1a	Tiedätkö, mikä on sinun supervoimasi?
e4c6ff8b	Inhimillisyys. Tekoäly voi auttaa, mutta ei korvata näitä taitoja:
b2d58ab2	Keksit uusia ideoita ja teet asioita uudella tavalla.
04b00689	Yhteistyö
a3dc8ec2	Teet töitä muiden kanssa ja kuuntelet toisia.
69d4cc64	Kriittinen ajattelu
52004334	Mietit, onko tieto totta. Kysyt: mistä tämä tulee?
26afb8e5	Tunneäly
ee6b4b05	Ymmärrät omia ja toisten tunteita. Osaat olla empaattinen.
b8128fce	Ongelmanratkaisu
85a1fc72	Löydät ratkaisuja vaikeisiin tilanteisiin rauhallisesti.
60978c77	Eettinen ajattelu
76ba6c45	Mietit, mikä on oikein ja mikä voi vahingoittaa muita.
5abadfcb	Oppimaan oppiminen
bc68e0f7	Opit uusia asioita ja kehität itseäsi koko ajan.
91719256	Mikä kiinnostaa sinua eniten?
6dd56d8b	Vaihtoehto A, Piirtäminen ja ideointi
fcd1e367	Vaihtoehto B, Keskustelu ja tiimityö
1280a2f9	Vaihtoehto C, Koodaus ja teknologia
b4ca133f	Vaihtoehto D, Väittely ja faktojen tarkistus
2129e8c3	Luku 7 / 7
ad925032	Minä voin auttaa. Mutta sinä rakennat tulevaisuuden.
0e491686	Kerro lyhyesti itsestäsi
54852acc	Mikä on sinun unelmasi?
42fb85cd	Mitä haluat oppia?
3cc24c4c	Mikä haluaisit olla isona?
aeaabba2	Valmis!
e5142e0b	Sinä kirjoitit:
7c2f0459	Palauta tehtävä opettajalle
b87ffd92	Paina Lataa vastauksesi -nappia alla.
7c3d08f9	Tiedosto tallentuu laitteellesi nimellä robo-vastaukset.txt.
ec3bd5a4	Avaa Google Classroom ja palauta tiedosto tehtävään.
